OrdenCorrida;Modelo;Experto;iso37;iso36;iso35;iso34;iso33;iso32;iso31;iso41;iso42;iso43;iso44;iso45;iso46;iso47;ancho intercanino (3-3);anchura interpremolar (4-4);anchura interpremolar (5-5);ancho intermolar;voto_mayoritario;experto
63;16;Experto 1;10,22;10,97;7,27;6,32;6,97;5,97;5,02;5,2;5,33;6,02;6,97;6,32;10,97;10,22;24,22;27,63;31,97;35,25;2;Ovalado
64;17;Experto 1;8,54;10,33;6,65;5,9;6,65;5,33;5,66;5,37;5,22;6,95;6,24;6;9,02;9,27;25,89;27;29,46;35,97;2;Cuadrado
65;18;Experto 1;10,85;10,99;7,33;7,65;7,15;6,66;5,63;5,52;6,33;6,63;7,96;7,63;11,51;11,25;33,89;34,67;39,54;43,34;2;Ovalado
66;19;Experto 1;9,56;10,25;6,58;6,95;6,02;5,65;5,37;5,01;5,85;6,54;7,25;7,63;10,56;8,55;25,25;26,65;31,97;33,2;2;Ovalado
67;20;Experto 1;10,02;10;7,32;7,52;7,66;6,65;5,33;5,63;6,97;7,23;7,32;7,13;10,33;9,01;30,01;31,33;35,12;37,02;2;Ovalado
68;21;Experto 1;9,55;10,34;6,01;7,36;7,13;6,67;5,33;5,4;6,63;7,22;7;6,52;10,33;10,52;27,21;28,01;31,36;34,85;2;Cuadrado
69;23;Experto 1;9,56;9,57;6,01;6,7;6,37;5,48;5,97;4,85;5,56;6,55;5,96;6;9,57;8,22;26,55;29,63;33,85;37,97;2;Ovalado
70;25;Experto 1;9,01;10,12;6,88;7,96;6,34;6,23;5,82;5,97;6,88;6,8;6,96;6,97;10,67;9,67;32,59;32,66;37;38,46;2;Ovalado
71;26;Experto 1;10,1;9,35;6,65;7,68;6,25;6,99;5,65;6,79;7,97;7,25;7,75;7,97;10,97;10,36;27,52;29,63;32,46;33,37;2;Cuadrado
72;27;Experto 1;9,52;10,21;6,97;7,21;6,97;6,49;5,75;5,76;6,45;7,97;7,25;6,25;10,63;10,99;25,12;25,97;29,85;35,85;2;Cuadrado
73;28;Experto 1;9,99;10,76;7,85;7,25;8,64;6,37;5,55;5,42;7,37;7,76;7,65;7,64;10,85;10,56;24,52;25,97;32,63;39,12;3;Triangular
74;29;Experto 1;10,26;10,45;7,24;7,21;7,21;6,21;5,36;6,23;6,32;6,32;7,32;7,37;10,32;9,99;31,25;30,63;33,56;36,64;2;Ovalado
75;30;Experto 1;10,33;10,65;7,63;7,33;6,33;6,33;5,36;5,97;6,13;6,33;7,33;6,64;10,97;10,97;28,33;27,52;31,36;35,36;2;Ovalado
76;31;Experto 1;9,36;10,85;6,97;6,33;6,99;5,97;5,13;5,45;5,33;6,63;7,54;6,36;10,66;9,97;30,53;31,37;38,7;41,36;2;Ovalado
77;32;Experto 1;9,99;10,63;6,33;7,13;6,24;5,97;5,23;5,36;5,25;6,63;6,25;6,36;9,97;9,36;28,25;27,36;29,97;36,36;1;Cuadrado
78;33;Experto 1;9,85;10,63;6,97;6,25;6,36;5,99;5,36;6,36;6,36;6,96;6,97;6,36;10,37;9,97;24,79;27,62;30,45;34,36;1;Cuadrado
79;34;Experto 1;9,85;10,36;6,85;6,97;7,65;5,97;5,63;5,7;5,97;6,99;7,63;7,37;10,37;9,53;23,33;27,36;32,63;34,33;1;Cuadrado
80;36;Experto 1;9,65;10,65;6,63;6,22;6,97;5,01;5,63;5,33;5,97;6,32;6,85;6,64;10,65;9,99;29,63;31,97;36,33;40,36;2;Ovalado
81;38;Experto 1;10,34;10,52;7,66;7,54;7,97;5,63;5,63;5,7;6,01;7,6;6,33;7,65;10,97;10,52;28,65;29,97;31,96;36,63;2;Cuadrado
82;39;Experto 1;9,66;10,02;6,49;6,97;6,36;6,97;5,36;5,97;6,36;6,63;6,88;6,96;11,02;9,65;26,52;28,65;31,96;36,36;2;Cuadrado
83;41;Experto 1;10,85;10,96;7,37;7,85;6,25;6,97;5,62;5,97;6,25;7,52;7,99;7,08;11;10,65;27,37;32,97;38,33;43,97;2;Ovalado
84;42;Experto 1;9,37;10,97;6,97;6,27;7,05;6,66;5,45;5,03;6,37;7,04;7,07;6,98;10,92;10,34;31,52;34,37;37,76;38,6;2;Ovalado
85;43;Experto 1;9,66;9,02;6,5;6,37;6,96;5,67;5;5,97;5,97;6,02;7,37;6;9,65;9,97;24,34;26,97;28,02;32,64;1;Cuadrado
86;44;Experto 1;9,96;10,23;6,96;6,01;6,75;6;5,14;5,99;5,89;6;6,68;6,97;10,65;9,97;29,32;32,97;36,36;39,37;2;Ovalado
87;45;Experto 1;10,25;10,53;7,03;7,63;7,96;5,97;5,02;5,63;6,97;7,63;7,97;7,25;10,7;10,37;27,99;28,9;33,37;36,92;1;Cuadrado
88;46;Experto 1;8,25;9,28;6,14;6,45;6,39;5,19;5,18;5,02;5,56;6,6;6,78;6,23;8,97;9,21;23,96;26,23;28,32;34,89;1;Cuadrado
89;47;Experto 1;9,65;10,97;6,34;7,97;7,75;6,67;5,96;5,01;6,97;6,37;7,99;7,64;10,79;9,37;25,37;25,97;29,97;36,75;1;Cuadrado
90;48;Experto 1;9,99;9,97;6,37;6,97;7,97;5,37;5,97;5,37;5,99;6,97;7,97;6,37;8,97;9,63;23,37;25,67;28,65;34,97;2;Ovalado
